MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT
광주비디오: 사라진 4시간,이조훈,(주)훈프로,(주)인디플러그,20200716,개봉영화,장편,한국,70.0,19897980.0,2623.0,8339980.0,1036.0,다큐멘터리,12세이상관람가,독립/예술영화,6.25,4.51
깡패와소녀,방현준,비에이치제이시네마,비에이치제이시네마,20200722,개봉영화,장편,한국,1.0,212000.0,27.0,,,드라마,15세이상관람가,일반영화,5.59,7.12
프리즈너,양길영,영화사 인연,(주)박수엔터테인먼트,20200723,개봉영화,장편,한국,49.0,13642360.0,1681.0,4075480.0,490.0,액션,15세이상관람가,일반영화,2.5,2.98
강철비2: 정상회담,양우석,(주)스튜디오게니우스우정,롯데컬처웍스(주)롯데엔터테인먼트,20200729,개봉영화,장편,한국,2137.0,14655366110.0,1790797.0,3474597010.0,441770.0,드라마,15세이상관람가,일반영화,6.64,4.96
루비,박한진,(주)펠리스,주식회사 더쿱,20200730,개봉영화,장편,한국,12.0,3271900.0,381.0,2924400.0,330.0,드라마,12세이상관람가,독립/예술영화,5.59,7.44
어게인,조창열,(주)하늬바람,(주)에스와이코마드,20200730,개봉영화,장편,한국,22.0,8008500.0,1027.0,6292000.0,776.0,뮤지컬,12세이상관람가,독립/예술영화,5.59,7.44
카오산 탱고,김범삼,,(주)영화사 그램,20200730,개봉영화,장편,한국,45.0,30281860.0,3731.0,21987460.0,2483.0,드라마,12세이상관람가,독립/예술영화,3.8,6.92
소셜노마드,"마영민,이상묵",,주식회사 씨엠닉스,20200801,개봉영화,장편,한국,2.0,231000.0,56.0,114000.0,32.0,다큐멘터리,전체관람가,독립/예술영화,5.59,9.56
다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,(주)씨제이이엔엠,20200805,개봉영화,장편,한국,1998.0,38554527990.0,4352669.0,8906277620.0,984042.0,범죄,15세이상관람가,일반영화,6.1,7.61
오케이 마담,이철하,"영화사올(주),(주)사나이픽처스",메가박스중앙(주)플러스엠,20200812,개봉영화,장편,한국,1288.0,10979887910.0,1228685.0,2163208200.0,238179.0,코미디,15세이상관람가,일반영화,6.13,6.29
어서오시게스트하우스,심요한,K'arts,(주)리틀빅픽쳐스,20200813,개봉영화,장편,한국,58.0,31441670.0,3573.0,21519000.0,2350.0,드라마,15세이상관람가,독립/예술영화,5.0,8.27
늙은 부부이야기: 스테이지 무비,신태연,예술의전당,예술의전당,20200819,개봉영화,장편,한국,16.0,4396500.0,432.0,2862000.0,303.0,공연,12세이상관람가,독립/예술영화,5.59,10.0
69세,임선애,(주)기린제작사,(주)엣나인필름,20200820,개봉영화,장편,한국,105.0,76642190.0,9511.0,51206820.0,6110.0,드라마,15세이상관람가,독립/예술영화,6.0,8.65
남매의 여름밤,윤단비,오누필름,그린나래미디어(주),20200820,개봉영화,장편,한국,133.0,175420602.0,21067.0,115782042.0,13367.0,드라마,전체관람가,독립/예술영화,7.83,8.97
동아시아반일무장전선,김미례,감 픽쳐스,아이 엠,20200820,개봉영화,장편,한국,23.0,7845500.0,992.0,6219000.0,755.0,다큐멘터리,15세이상관람가,독립/예술영화,6.0,7.78
여름날,오정석,오전필름,영화배급협동조합 씨네소파,20200820,개봉영화,장편,한국,12.0,5136480.0,663.0,3434480.0,403.0,드라마,전체관람가,독립/예술영화,5.59,7.44
태백권,최상훈,"(주)그노스,꿀잼컴퍼니(주)",(주)드림팩트엔터테인먼트,20200820,개봉영화,장편,한국,62.0,14307800.0,2018.0,6001000.0,950.0,코미디,15세이상관람가,일반영화,3.0,5.38
이별식당,임왕태,"(주)미스터로맨스,HATCH FILM ,서울예술대학","(주)에스와이코마드,아이 엠",20200827,개봉영화,장편,한국,24.0,5934740.0,754.0,3975900.0,488.0,뮤지컬,12세이상관람가,독립/예술영화,4.5,7.88
후쿠오카,장률,(주)률필름,"(주)률필름,㈜인디스토리",20200827,개봉영화,장편,한국,101.0,41546520.0,5064.0,23954070.0,2732.0,드라마,15세이상관람가,독립/예술영화,6.0,6.63
7월7일,손승현,필름소년,(주)이놀미디어,20200902,개봉영화,장편,한국,18.0,1846560.0,219.0,1283580.0,145.0,드라마,12세이상관람가,독립/예술영화,4.33,7.37
오! 문희,정세교,(주)빅스톤픽쳐스,CGV아트하우스,20200902,개봉영화,장편,한국,1110.0,2798758600.0,351162.0,591354210.0,73973.0,코미디,12세이상관람가,일반영화,4.5,8.01
카일라스 가는 길,정형민,빅트리,(주)영화사 진진,20200903,개봉영화,장편,한국,47.0,71290540.0,9389.0,33524330.0,4203.0,다큐멘터리,전체관람가,독립/예술영화,5.25,9.37
기기괴괴 성형수,조경훈,"(주)에스에스애니멘트 ,(주)스튜디오 애니멀",(주)트리플픽쳐스,20200909,개봉영화,장편,한국,276.0,871629560.0,103251.0,287238540.0,36203.0,공포(호러),15세이상관람가,독립/예술영화,6.6,6.94
나를 구하지 마세요,정연경,(주)아우라픽처스,(주)리틀빅픽쳐스,20200910,개봉영화,장편,한국,79.0,20403800.0,2334.0,10538220.0,1140.0,드라마,12세이상관람가,독립/예술영화,5.67,9.32
메피스토,김동후,㈜아라유니버스,(주)영화사 그램,20200910,개봉영화,장편,한국,30.0,4054900.0,502.0,2710900.0,324.0,드라마,15세이상관람가,독립/예술영화,4.0,7.25
이별의 목적,이건우,(주)한영씨앤텍,주식회사 블루필름웍스,20200910,개봉영화,장편,한국,15.0,1690470.0,214.0,997500.0,124.0,멜로/로맨스,12세이상관람가,독립/예술영화,5.0,7.04
공포체험라디오 4DX,서정희,"CGV ICECON,씨제이포디플렉스 주식회사","CGV ICECON,씨제이포디플렉스 주식회사",20200916,개봉영화,장편,한국,37.0,16604000.0,1794.0,6099500.0,650.0,공포(호러),15세이상관람가,일반영화,5.59,3.25
매지컬: 공주를 웃겨라,정윤철,애니투아트(주),(주)에이원엔터테인먼트,20200917,개봉영화,장편,한국,220.0,31809670.0,4077.0,5353060.0,642.0,애니메이션,전체관람가,일반영화,5.33,5.93
검객,최재훈,오퍼스픽쳐스(유),"(주)키위미디어그룹,오퍼스픽쳐스(유),(주)씨네필운",20200923,개봉영화,장편,한국,832.0,1619781870.0,190237.0,315861680.0,36965.0,액션,15세이상관람가,일반영화,4.5,7.91
